request_rate,ip_change,failed_attempts,device_trust,time_of_day,location_risk,is_attack
26.53,1,3,0.47,21,0.52,1
4.58,0,0,1.0,12,0.16,0
26.58,1,5,0.28,21,0.8,1
11.32,0,1,0.85,18,0.4,0
4.18,0,3,0.59,19,0.6,1
3.07,0,0,0.74,14,0.21,0
15.89,0,17,0.28,5,0.52,1
35.94,0,2,0.23,21,0.43,1
12.41,0,1,0.94,11,0.12,0
3.93,0,0,0.82,17,0.02,0
5.11,0,0,0.95,11,0.22,0
3.21,0,0,0.91,11,0.43,1
4.02,0,0,0.73,10,0.32,0
33.07,1,1,0.64,23,0.45,1
0.33,0,9,0.77,23,0.37,0
10.13,0,1,0.81,11,0.53,0
8.37,0,3,0.44,15,0.54,0
0.8,0,0,0.97,11,0.26,0
11.17,0,0,0.82,13,0.18,0
6.57,0,0,0.97,11,0.21,0
2.94,0,0,0.67,14,0.08,0
1.42,0,0,0.43,12,0.42,1
21.22,1,0,0.32,23,0.79,0
3.49,0,7,0.54,8,0.21,1
2.42,0,0,0.85,12,0.18,0
3.64,0,0,0.59,10,0.17,0
15.14,1,1,0.29,20,0.77,1
4.36,0,3,0.39,3,0.44,0
36.69,1,8,0.41,23,0.3,1
14.03,0,0,0.77,19,0.0,0
3.83,0,1,0.61,11,0.51,1
3.98,1,3,0.34,14,0.28,1
3.69,0,0,0.8,14,0.2,0
3.98,0,0,0.79,8,0.22,0
2.11,0,0,0.62,12,0.27,0
13.64,0,12,0.19,21,1.0,1
3.3,0,0,0.75,20,0.15,0
3.32,0,0,0.68,17,0.24,0
3.87,0,0,0.99,13,0.0,0
3.94,1,0,0.77,12,0.0,1
4.69,0,0,0.85,9,0.15,0
5.4,0,7,0.63,21,0.2,1
1.57,0,1,0.73,14,0.13,0
27.05,1,0,0.42,21,0.97,1
3.22,0,0,0.85,16,0.16,0
0.99,0,0,0.8,14,0.1,0
3.3,0,0,0.89,15,0.25,0
25.04,1,12,0.66,5,0.48,1
2.56,0,0,0.74,9,0.09,0
4.9,0,0,0.85,12,0.15,0
26.38,1,7,0.46,20,0.74,1
5.28,0,1,0.64,12,0.38,1
10.31,0,0,0.76,23,0.3,0
14.66,0,2,0.79,3,0.29,0
2.99,0,0,0.82,16,0.13,0
6.13,0,2,0.83,7,0.22,0
3.22,0,0,0.87,11,0.4,1
4.64,0,0,0.84,11,0.24,0
13.07,1,0,0.2,0,0.89,1
14.09,0,1,0.85,8,0.22,0
1.65,0,0,0.75,16,0.07,0
43.47,1,1,0.03,0,0.55,1
3.1,0,0,0.8,11,0.18,0
6.8,0,1,0.46,16,0.47,0
8.87,0,3,0.87,14,0.21,0
1.31,0,0,0.83,15,0.07,0
15.36,0,1,0.33,21,0.73,0
24.05,1,0,0.39,21,0.78,1
3.65,0,0,0.89,17,0.2,0
2.4,0,0,0.73,10,0.18,0
34.79,1,2,0.26,0,0.97,1
10.76,0,0,0.77,10,0.13,0
26.45,1,7,0.42,3,0.72,0
19.73,1,0,0.25,2,0.79,1
3.08,0,6,0.56,13,0.36,0
5.02,0,0,0.65,10,0.25,0
5.18,0,2,0.8,15,0.32,1
4.87,0,0,0.8,18,0.18,0
1.49,1,0,0.77,12,0.19,0
15.29,0,3,0.75,5,0.06,0
23.03,1,4,0.37,4,0.71,0
22.35,1,3,0.35,22,0.71,0
29.33,1,7,0.36,20,0.69,1
23.06,0,4,0.2,21,0.66,1
2.95,0,1,0.77,12,0.07,0
15.91,0,1,0.84,17,0.27,0
5.37,0,1,0.74,9,0.33,1
11.46,0,0,0.3,0,0.38,0
40.6,0,7,0.43,2,0.69,1
2.46,0,11,0.4,13,0.68,1
5.73,1,0,0.27,21,0.71,1
29.61,1,12,0.35,4,0.68,1
4.31,1,0,0.82,15,0.0,0
0.43,0,1,0.79,15,0.12,0
2.49,0,1,0.7,8,0.0,0
1.9,0,0,0.75,15,0.28,0
1.39,0,0,0.9,13,0.07,0
6.78,0,0,0.92,0,0.05,0
7.71,0,1,0.85,8,0.27,1
16.19,0,1,0.34,12,0.26,0
2.03,0,0,0.77,14,0.0,0
33.72,1,1,0.33,23,0.68,1
9.1,0,1,0.69,12,0.49,1
1.97,0,0,0.59,11,0.0,0
8.44,0,1,0.63,14,0.69,1
21.66,1,7,0.32,1,0.67,1
2.46,0,0,0.75,18,0.03,0
1.53,0,0,0.89,4,0.25,0
3.82,0,0,1.0,10,0.25,0
17.91,0,2,0.35,1,0.78,1
4.31,1,2,0.84,7,0.19,1
8.67,1,3,0.43,3,0.67,1
37.59,1,4,0.21,3,0.55,1
3.16,0,0,0.63,15,0.51,0
6.25,0,0,0.81,8,0.08,0
7.66,0,0,0.63,13,0.13,0
0.29,0,0,0.9,14,0.11,0
3.9,0,0,1.0,9,0.15,0
7.92,0,0,0.79,8,0.15,0
6.3,0,1,0.89,14,0.2,0
6.1,0,0,0.94,0,0.49,0
28.41,1,1,0.21,0,0.66,1
3.11,0,0,0.68,13,0.0,0
2.05,0,0,0.77,12,-0.0,0
3.47,0,0,0.92,11,0.11,0
0.1,0,0,0.82,14,0.28,0
9.62,0,2,0.85,16,0.13,0
5.67,1,0,0.73,9,0.0,0
4.26,0,0,0.88,9,0.14,0
14.13,1,3,0.57,2,0.53,1
9.01,0,1,0.42,18,0.67,0
36.74,1,3,0.23,5,1.0,1
2.12,0,0,0.72,10,0.13,0
2.42,0,0,0.9,15,0.2,0
2.57,0,0,0.78,14,0.2,0
37.29,0,0,0.75,3,0.64,1
13.25,1,5,0.58,0,0.79,0
4.19,0,0,0.74,11,-0.0,0
2.49,0,2,0.6,14,0.32,0
4.26,0,0,0.75,10,0.28,0
3.28,0,0,0.66,15,0.21,1
0.1,0,0,0.46,16,0.34,0
29.81,1,8,0.16,23,0.56,0
23.24,0,7,0.29,0,1.0,1
4.79,0,0,0.84,10,0.16,0
4.16,0,1,0.45,12,0.15,1
29.12,1,2,0.18,5,0.93,1
0.1,0,0,0.83,18,0.16,0
9.59,0,10,0.31,2,0.64,1
24.74,0,7,0.14,20,0.58,1
1.62,0,1,0.71,10,0.0,0
21.83,1,2,0.62,3,0.88,1
3.76,0,0,0.74,12,0.21,0
0.12,0,2,0.79,15,0.42,1
19.8,0,2,0.91,10,0.42,1
11.64,0,1,0.82,13,0.03,0
17.49,1,5,0.13,22,0.82,1
44.54,1,1,0.33,21,0.54,1
17.98,0,0,0.82,9,0.16,0
5.17,0,1,0.53,1,0.29,1
2.74,0,0,0.65,16,0.12,0
18.65,1,1,0.38,23,0.46,1
24.05,1,0,0.31,22,0.8,1
36.01,0,1,0.22,3,0.59,1
3.18,0,2,0.94,7,0.11,0
31.07,1,3,0.46,20,0.58,1
3.73,0,0,0.84,11,0.19,0
1.62,1,0,0.75,14,0.2,0
4.28,1,1,0.46,13,0.36,1
5.51,0,0,0.57,13,0.48,1
9.43,0,0,0.39,2,0.46,1
14.56,0,2,0.86,5,0.05,0
29.26,1,0,0.31,1,0.69,1
4.11,0,1,0.51,19,0.34,1
14.1,1,9,0.39,2,0.77,1
2.06,0,0,0.77,8,0.15,1
6.31,0,0,0.92,16,0.11,0
9.94,0,3,0.46,18,0.53,0
2.81,0,1,0.75,15,0.25,0
3.52,0,0,0.99,12,0.15,0
9.54,0,1,0.88,11,0.29,0
16.01,0,1,0.99,9,0.53,0
8.25,0,0,0.56,17,0.25,0
25.19,0,0,0.24,23,0.45,1
21.47,1,3,0.33,23,0.48,1
32.29,1,0,0.49,3,0.76,1
3.11,0,0,0.93,10,0.13,0
35.35,0,3,0.44,22,0.62,0
2.78,0,1,0.83,13,0.04,0
3.21,0,0,0.73,17,0.13,0
25.66,1,1,0.29,3,0.93,1
23.42,1,3,0.13,22,0.68,1
7.48,0,0,0.75,2,0.54,1
0.1,0,0,0.53,15,0.46,1
33.51,1,9,0.43,20,0.69,0
3.81,1,0,0.49,11,0.29,0
2.57,0,0,0.59,15,0.0,0
5.54,1,4,0.57,6,0.29,1
16.44,1,19,0.73,20,0.76,1
5.83,0,0,0.66,12,0.37,0
5.36,0,0,0.4,6,0.16,0
10.35,0,0,0.85,19,0.15,0
4.82,0,0,0.82,16,0.21,1
0.57,0,0,0.71,10,0.22,0
37.15,1,2,0.27,22,0.77,1
25.96,1,1,0.41,23,0.52,1
3.15,0,1,0.84,14,0.11,0
12.84,0,1,0.87,22,0.39,0
7.99,0,0,0.3,10,0.26,0
8.57,0,2,0.75,13,0.13,0
14.89,0,1,0.81,17,0.15,0
4.04,0,0,0.95,16,0.0,0
2.64,0,0,0.68,16,0.51,0
5.52,0,13,0.43,15,0.43,1
1.26,0,0,0.74,14,0.3,0
15.16,1,0,0.11,5,0.82,1
21.58,1,1,0.0,3,0.94,1
3.23,0,3,0.56,10,0.21,0
1.83,0,0,0.74,8,0.29,0
20.58,1,1,0.14,4,1.0,1
27.51,0,0,1.0,0,0.58,0
18.67,0,0,0.8,9,0.3,0
0.67,0,0,0.13,14,0.24,1
2.65,0,1,0.64,9,0.09,1
28.26,1,9,0.33,21,0.9,1
3.06,0,6,0.74,14,0.07,0
29.49,1,5,0.52,21,0.83,1
6.06,0,0,0.91,16,0.33,0
12.88,1,0,1.0,6,0.62,1
4.98,0,0,0.79,15,0.08,1
1.26,0,0,0.76,14,0.18,0
4.67,0,1,0.96,16,0.07,0
3.09,0,0,0.64,11,0.14,0
1.85,0,0,0.85,12,0.1,0
43.64,1,2,0.25,1,0.89,1
0.58,0,0,0.61,10,0.24,0
13.05,0,0,1.0,5,0.22,0
2.76,0,0,0.68,20,0.18,0
5.03,0,0,0.73,15,0.14,0
14.77,0,0,0.52,10,0.3,1
2.22,0,0,0.94,11,0.3,0
38.81,1,1,0.3,22,0.79,1
5.62,1,0,0.25,13,0.93,1
4.23,0,0,0.54,19,0.45,0
10.33,0,0,0.88,22,0.2,1
8.48,1,0,0.34,13,0.65,0
16.88,0,12,0.22,2,0.64,1
38.96,1,0,0.15,20,0.71,1
33.04,1,5,0.17,21,0.74,1
6.15,0,0,0.43,15,0.39,1
5.58,1,1,0.45,10,0.66,0
2.85,0,1,0.91,11,0.09,0
1.99,0,0,0.62,9,0.19,0
19.19,1,1,0.21,5,0.76,1
1.33,1,8,0.31,23,0.71,1
32.93,1,14,0.52,3,0.53,1
3.93,0,0,0.66,11,0.0,0
4.96,0,4,0.6,13,0.27,0
4.85,0,0,0.94,12,0.03,1
4.69,0,0,0.82,12,0.13,1
0.92,0,0,0.76,9,0.16,0
3.4,0,0,0.86,18,0.18,0
1.06,0,0,0.68,10,0.09,0
9.48,0,4,0.19,23,0.53,1
10.67,0,6,0.37,5,0.86,1
6.44,0,0,0.85,12,0.26,1
13.71,0,2,0.81,10,0.24,0
1.55,1,0,0.62,10,0.13,0
12.27,0,0,0.91,23,0.13,1
3.45,0,0,0.69,16,0.18,1
1.63,0,1,0.81,12,0.01,0
5.5,1,2,0.45,20,0.51,0
19.24,0,3,0.38,5,0.51,1
13.78,0,0,0.85,11,0.21,0
12.61,0,3,0.7,13,0.28,0
0.94,0,0,0.89,10,0.15,0
0.71,0,0,0.72,14,0.0,0
46.02,1,0,0.26,5,0.63,1
15.83,1,4,0.43,1,0.73,1
21.27,0,4,0.06,23,0.84,1
23.06,0,1,0.89,11,0.32,0
6.97,0,0,0.86,13,0.3,0
2.99,0,0,0.72,16,0.19,0
6.41,0,3,0.15,3,0.65,1
4.82,0,0,0.77,8,0.0,0
23.34,1,7,0.27,0,0.55,0
1.49,0,0,0.82,9,0.12,0
30.12,1,2,0.38,4,0.7,1
5.31,0,0,0.67,18,0.39,0
2.88,1,0,0.76,11,0.25,0
24.25,1,1,0.11,21,0.73,1
5.12,0,0,0.75,14,0.08,0
38.68,1,12,0.12,20,0.72,1
31.18,1,7,0.18,22,0.86,1
3.44,0,0,0.79,11,0.06,1
8.28,0,1,0.74,23,0.48,1
16.52,0,0,0.85,11,0.2,0
5.46,0,0,0.86,9,0.32,0
0.31,0,0,0.7,11,0.11,0
10.87,0,0,0.81,11,0.15,1
2.9,0,3,0.43,17,0.35,0
27.44,1,19,0.51,1,0.55,1
34.96,1,1,0.43,0,0.72,1
9.01,0,0,0.84,11,0.13,0
2.2,0,0,0.85,18,0.05,0
25.62,1,1,0.55,4,0.78,1
0.17,0,0,0.6,9,0.12,0
8.62,1,1,0.8,11,0.56,1
27.68,0,8,0.29,0,0.6,1
3.43,0,0,0.7,9,0.17,0
21.18,0,3,0.23,4,0.77,1
5.97,0,2,0.66,17,0.46,0
4.77,0,0,0.77,13,0.07,0
4.31,0,1,0.52,21,0.19,0
1.65,0,2,0.88,13,0.18,0
37.08,1,3,0.25,21,0.45,0
8.96,0,1,0.78,15,0.08,0
16.18,0,0,0.9,16,0.02,0
3.35,0,2,0.41,3,0.11,1
8.59,1,0,0.73,14,0.25,0
2.94,0,0,0.85,11,0.0,0
2.22,0,0,0.74,11,0.13,0
8.65,0,1,0.48,15,0.38,0
21.58,1,0,0.16,21,0.63,1
17.9,0,4,0.44,2,0.8,1
2.47,0,0,0.78,14,0.17,0
4.18,0,0,0.68,16,0.14,0
4.56,0,0,0.85,7,0.17,0
3.39,0,0,0.7,14,0.08,0
20.7,1,2,0.4,4,0.82,1
2.57,0,0,0.7,21,0.78,1
5.07,0,1,0.7,17,0.52,1
13.97,0,1,0.87,4,0.23,0
34.36,1,2,0.28,21,0.78,1
13.46,0,0,0.9,13,0.05,1
8.63,0,1,0.7,0,0.44,0
1.64,0,0,0.72,13,0.17,0
21.24,1,3,0.34,3,0.53,1
2.65,0,0,0.86,8,0.12,0
9.14,0,0,0.6,20,0.0,0
2.41,0,1,0.86,14,0.15,0
4.71,0,0,0.52,13,0.45,0
16.52,1,3,0.16,4,0.72,1
4.73,0,0,0.84,19,0.26,0
4.31,0,0,0.83,19,0.16,0
3.79,0,0,0.81,7,0.18,0
2.79,0,0,0.76,11,0.19,1
4.79,0,0,0.85,10,0.2,0
3.04,0,1,0.81,12,0.16,0
7.59,0,1,0.74,15,0.07,0
21.39,0,6,0.44,20,0.78,1
4.31,0,0,0.73,12,0.08,0
8.2,0,0,0.67,4,0.63,0
11.06,0,4,0.65,13,0.47,1
2.66,0,0,0.85,15,0.17,0
3.32,0,1,0.8,12,0.0,0
3.0,0,0,0.75,10,0.22,0
19.75,1,1,0.43,20,0.74,1
6.14,0,0,0.73,20,0.26,0
1.74,0,0,0.87,9,0.19,0
4.74,0,0,0.82,9,0.0,0
35.71,0,5,0.5,20,0.64,1
2.83,0,0,0.93,13,0.34,0
1.37,0,1,0.85,13,0.0,0
0.1,0,0,0.67,12,0.1,0
16.46,0,2,0.89,15,0.11,0
2.77,0,0,0.76,10,0.09,0
3.8,0,2,0.55,6,0.25,1
3.97,0,0,0.89,16,0.23,0
33.6,1,2,0.38,4,0.69,1
3.42,0,1,0.86,14,-0.0,0
24.45,0,0,0.93,13,0.08,0
9.43,0,0,0.67,12,0.37,0
25.31,1,6,0.24,2,0.77,1
32.79,1,11,0.36,5,0.83,1
2.22,0,0,0.85,11,0.21,0
6.81,0,1,0.45,1,0.34,0
7.85,0,0,0.84,12,0.13,0
10.47,1,2,0.09,23,0.87,0
35.0,0,10,0.25,3,0.86,1
1.38,0,0,0.92,13,0.07,0
3.57,0,1,0.9,11,0.23,0
3.31,0,2,0.33,13,0.43,0
18.77,1,0,0.37,1,0.54,1
5.69,0,0,0.94,7,0.06,0
21.11,0,0,0.87,12,0.17,0
6.51,0,1,0.72,16,0.68,0
5.53,1,1,0.35,12,0.54,1
5.86,1,9,0.35,3,0.66,1
4.23,0,0,0.79,8,0.16,0
3.44,0,0,0.84,11,0.38,0
5.24,0,0,1.0,13,0.03,1
4.28,0,0,0.89,14,0.15,0
1.47,0,0,0.5,13,0.65,1
2.37,0,0,0.65,9,0.0,0
4.07,0,0,0.75,7,0.14,1
22.06,1,1,0.33,3,0.52,1
3.9,0,0,0.82,12,0.22,0
15.47,1,9,0.45,20,0.68,1
30.72,1,13,0.3,21,0.74,1
4.82,1,0,0.57,10,0.47,1
17.37,1,12,0.31,5,0.44,1
10.72,0,2,0.89,3,0.16,0
1.0,0,0,0.69,11,0.0,0
2.87,0,1,0.65,6,0.01,0
12.34,0,2,0.88,14,0.0,1
9.18,0,2,0.81,10,0.34,0
2.9,0,0,0.78,15,0.28,0
13.16,0,1,0.72,19,0.7,1
1.87,0,0,0.81,7,0.23,0
21.27,1,7,0.46,2,0.51,1
3.12,0,0,0.82,14,0.12,0
10.37,0,1,0.9,10,0.28,0
38.75,1,4,0.53,3,0.75,1
4.41,0,1,0.89,14,0.32,0
11.57,1,2,0.91,13,0.11,1
4.84,0,1,0.5,15,0.3,1
23.28,1,25,0.45,21,0.71,1
12.52,0,0,0.81,7,0.4,0
21.21,1,5,0.42,2,0.92,1
33.19,1,0,-0.0,0,0.89,1
1.12,0,0,0.82,9,0.05,0
0.1,0,2,0.71,11,0.37,0
4.3,0,1,0.43,12,0.09,0
2.26,0,0,0.84,13,0.3,0
9.02,0,0,0.75,6,0.17,0
5.23,0,0,0.76,15,0.19,0
5.09,0,0,0.46,12,0.78,0
2.41,0,0,0.71,16,0.3,0
5.57,0,0,0.5,12,0.55,1
5.1,0,0,0.86,11,0.17,1
0.1,0,0,0.94,14,0.2,0
3.0,0,0,1.0,11,0.0,0
0.67,0,0,0.72,9,0.13,0
3.62,0,0,0.94,13,0.0,1
29.99,1,0,0.28,20,0.62,1
1.94,0,1,0.74,13,0.12,0
4.0,0,0,0.64,9,0.04,0
5.32,0,7,0.39,13,0.39,0
29.24,1,13,0.29,0,0.95,1
3.15,0,0,0.72,14,0.14,0
14.04,0,0,1.0,1,0.57,0
9.76,1,0,0.81,6,0.31,1
4.13,0,0,0.95,8,0.24,0
11.19,0,3,0.56,15,0.34,1
5.32,0,0,0.72,15,0.28,0
5.08,0,1,0.64,12,0.46,0
6.3,0,0,0.9,12,0.1,0
2.83,0,0,0.87,11,0.29,1
20.07,1,0,0.08,4,0.56,1
17.17,0,0,0.92,15,0.27,0
13.7,1,5,0.56,23,0.55,1
10.51,0,2,0.83,10,0.38,0
28.17,1,0,0.15,5,1.0,1
5.32,0,4,0.11,3,0.57,1
39.54,0,2,0.39,3,0.66,0
8.04,0,0,0.87,11,0.2,0
1.04,0,0,0.79,15,0.23,0
28.17,1,11,0.16,0,0.77,1
11.46,1,0,0.91,21,0.48,0
5.72,0,0,0.63,12,0.18,0
11.67,1,4,0.6,12,0.14,1
13.23,0,2,0.86,9,0.13,0
3.03,0,0,0.74,3,0.11,0
4.35,0,0,0.82,10,0.17,1
2.48,0,0,0.76,13,0.04,0
3.68,0,1,0.71,13,0.22,1
2.68,1,1,0.59,14,0.77,1
1.45,0,1,0.75,7,0.08,0
2.62,0,0,0.75,11,0.19,0
3.69,0,0,0.75,16,0.21,0
0.1,0,0,0.75,12,0.28,0
3.88,0,1,0.9,13,0.09,0
3.46,0,0,0.85,11,0.14,0
45.89,0,1,0.3,20,0.56,1
4.44,0,0,0.68,11,0.24,0
2.2,0,0,0.74,9,0.08,0
39.98,0,1,0.6,5,0.63,1
13.42,0,2,0.79,6,0.27,0
9.7,0,0,0.95,14,0.32,0
26.09,1,12,0.41,21,0.74,1
33.91,1,4,0.21,22,0.76,1
6.72,0,0,0.42,18,0.49,0
0.81,0,0,0.87,9,0.19,0
7.41,1,0,0.61,14,0.33,0
4.5,0,1,0.55,16,0.53,1
5.11,1,1,0.48,13,0.46,1
4.61,0,0,0.67,10,0.22,1
3.22,0,0,0.69,14,0.23,1
15.93,0,0,0.74,11,0.26,0
0.37,0,0,0.95,10,0.19,0
4.64,0,0,0.85,16,0.17,0
2.71,0,0,0.89,6,0.15,0
6.93,0,1,0.8,19,0.76,0
3.43,0,0,0.8,10,0.13,0
13.13,0,0,0.79,6,0.19,0
11.74,0,1,0.92,7,0.12,0
3.84,0,0,0.76,17,0.24,0
3.64,0,0,0.78,13,0.23,0
20.76,1,8,0.3,2,0.93,0
5.54,1,2,0.25,23,0.69,1
1.78,0,0,0.76,7,0.08,0
40.81,0,15,0.16,22,0.56,1
11.39,0,0,0.86,17,0.31,0
11.2,0,0,0.86,11,0.06,1
5.16,0,1,0.87,15,0.12,0
1.48,0,0,0.88,14,0.13,0
4.48,0,0,0.87,10,0.13,0
7.9,0,0,0.36,14,0.58,0
12.02,0,1,0.74,8,0.22,0
30.54,0,0,0.4,4,0.62,0
3.85,0,0,0.68,19,0.28,0
12.76,1,14,0.4,0,0.6,1
25.49,1,1,0.5,3,0.89,1
21.15,0,1,0.96,11,0.14,0
13.15,0,1,0.45,18,0.27,0
22.34,1,4,0.05,0,0.59,1
42.31,0,0,0.4,1,0.68,1
21.96,0,2,0.17,22,0.64,1
24.59,1,10,0.37,23,0.96,0
2.92,0,0,0.74,14,0.09,0
4.12,0,1,1.0,9,0.27,0
4.28,0,0,0.82,17,0.0,0
5.76,0,1,0.52,12,0.3,1
18.16,0,1,0.81,4,0.45,0
11.74,0,0,0.68,5,0.16,0
35.83,1,4,0.42,5,0.73,0
2.35,0,0,0.87,12,0.15,0
0.1,0,0,0.72,16,0.08,0
3.66,0,0,0.77,14,0.13,0
6.88,0,4,0.63,15,0.43,0
6.11,0,1,0.67,4,0.31,0
23.16,1,4,0.35,5,0.59,1
36.14,0,0,0.21,4,0.64,1
16.65,0,0,0.84,13,0.16,0
4.22,0,0,0.67,7,0.11,0
4.84,0,0,0.91,11,0.02,0
3.44,0,1,0.5,11,0.57,1
3.63,0,1,0.35,12,0.36,0
4.53,0,8,0.47,12,0.56,1
11.09,0,0,0.8,9,0.05,0
4.71,0,0,0.88,17,0.01,0
17.75,1,14,0.2,22,0.9,1
2.63,0,0,0.66,11,0.18,0
0.38,0,0,0.81,8,0.04,0
13.22,0,0,0.83,12,0.24,0
6.02,0,1,0.55,9,0.34,0
32.0,1,0,0.42,2,0.58,1
23.03,1,0,0.0,20,0.63,1
22.9,1,1,0.2,0,0.67,1
15.47,1,1,0.55,5,0.53,1
1.92,0,1,0.74,16,0.47,0
28.96,1,2,0.36,2,0.86,1
31.03,1,22,0.8,0,0.63,1
3.18,1,0,0.85,15,0.12,0
1.35,0,1,0.74,14,0.01,0
2.3,0,0,0.84,17,0.09,0
3.57,1,0,0.76,9,0.14,0
4.89,0,0,0.81,12,0.19,0
1.7,0,0,0.71,13,0.24,0
2.45,0,0,0.82,9,0.0,0
3.36,0,0,0.77,15,0.25,1
23.39,1,1,0.32,0,0.59,0
1.77,0,0,0.86,19,0.07,0
4.1,0,0,0.85,14,0.11,0
6.82,0,1,0.75,10,0.32,0
2.73,0,0,0.78,12,0.36,0
3.34,1,2,0.82,19,0.53,1
6.3,0,0,0.96,19,0.3,0
4.77,0,0,0.71,14,0.17,0
8.59,1,4,0.58,20,1.0,1
2.23,0,0,0.82,10,0.07,0
4.7,0,0,0.73,15,0.06,0
32.53,0,9,0.31,22,0.91,1
11.84,1,0,0.64,5,0.21,1
10.3,1,0,0.91,6,0.27,0
16.7,0,1,0.63,21,0.07,0
9.27,0,0,0.94,4,0.09,1
3.5,0,0,0.77,18,0.4,0
13.19,0,5,0.42,22,0.5,1
3.06,0,0,0.86,7,0.0,0
7.5,1,1,0.29,23,0.13,0
2.73,0,0,0.79,8,0.0,0
3.72,0,2,0.8,13,0.16,1
38.92,0,1,-0.0,20,0.78,1
16.86,1,1,0.82,12,0.17,0
4.83,0,0,0.92,11,0.18,0
30.11,1,0,0.12,22,0.77,1
4.53,0,0,0.74,14,0.16,0
3.95,1,0,0.67,8,0.02,0
0.89,1,0,0.77,12,0.01,0
13.07,0,0,0.8,11,0.24,0
0.1,1,3,0.63,19,0.34,0
40.47,0,5,0.11,0,0.71,1
5.25,0,0,0.7,12,0.34,0
8.54,0,2,0.77,4,0.44,1
8.13,0,0,0.87,11,0.12,0
16.43,1,8,0.4,20,0.44,1
4.3,0,1,0.68,11,0.32,1
2.82,0,0,0.8,10,0.13,0
4.98,0,2,0.72,15,0.08,0
12.97,0,2,0.99,11,0.31,0
2.22,0,0,0.82,15,0.41,0
33.21,1,5,0.29,1,0.92,0
4.82,0,1,0.85,10,0.25,0
31.0,1,2,0.21,5,0.84,0
31.83,1,5,0.15,22,0.65,1
3.02,0,0,0.72,15,0.05,0
6.19,0,0,0.84,16,0.09,0
1.82,0,0,0.79,11,0.36,0
0.1,0,2,0.89,8,0.29,0
15.67,0,1,0.78,14,0.15,0
2.91,0,0,0.94,10,0.12,0
10.0,0,0,0.97,10,0.16,0
7.2,0,2,0.71,5,0.5,0
0.1,0,0,0.74,14,0.17,0
48.48,1,0,0.27,5,0.71,1
4.95,0,0,0.58,3,0.0,0
1.4,0,0,0.84,12,0.1,0
0.1,0,0,0.86,15,0.05,0
6.22,0,0,0.9,8,0.37,0
11.22,0,0,0.75,10,0.16,0
0.74,0,0,0.88,15,0.06,0
4.4,1,0,0.5,12,0.49,1
16.76,1,0,0.19,3,0.59,1
1.62,1,0,0.68,7,0.45,0
38.65,1,0,0.3,2,0.69,1
12.12,0,0,1.0,14,0.41,1
11.6,0,1,0.96,13,0.36,0
4.58,0,4,0.29,17,0.37,1
1.15,0,1,0.8,12,0.19,0
1.47,0,0,0.71,13,0.26,0
9.86,1,0,0.92,21,0.18,0
3.15,0,0,0.77,15,0.13,0
16.23,1,2,0.39,1,0.58,1
4.86,0,1,0.74,16,0.1,1
2.75,0,1,0.74,8,0.21,0
16.92,0,0,0.91,11,0.28,0
5.17,0,0,0.94,13,0.14,0
3.7,0,0,0.8,15,0.11,0
5.08,0,0,0.71,15,0.11,0
37.41,1,1,0.3,5,0.61,1
9.93,0,0,0.78,5,0.18,0
12.04,0,0,0.42,1,0.4,1
0.1,0,1,0.75,13,0.28,0
9.19,0,2,0.91,12,0.24,0
16.48,0,0,0.9,15,0.13,0
2.54,0,5,0.4,11,0.45,0
2.61,0,0,0.64,17,0.11,0
10.36,0,0,0.75,8,0.39,1
15.24,0,1,0.77,11,0.29,0
6.18,0,1,0.74,11,0.6,0
3.49,0,0,0.71,10,0.12,0
23.31,0,0,0.17,22,0.64,1
0.64,0,0,0.82,10,0.0,0
11.61,0,0,0.86,11,0.23,0
3.44,0,0,0.84,13,0.14,0
2.6,0,0,0.83,13,0.14,0
6.18,1,4,0.39,1,0.6,1
33.77,1,6,0.31,1,0.62,1
3.62,0,1,0.81,10,0.4,0
32.37,1,0,0.34,21,0.63,1
32.0,0,4,0.16,20,0.82,1
0.1,0,0,0.76,11,0.02,1
6.83,1,0,0.47,16,0.19,1
4.79,0,1,0.77,15,0.03,0
5.74,0,0,0.54,20,0.29,0
15.52,0,0,0.83,13,0.27,0
3.13,0,0,0.91,15,0.03,0
3.67,0,0,0.59,12,0.5,1
1.12,0,0,0.82,15,0.16,1
3.54,0,0,0.9,19,0.19,0
0.67,0,0,0.68,11,0.28,0
13.8,0,0,0.78,8,0.28,0
15.66,0,2,0.61,4,0.67,1
16.36,1,2,0.09,5,0.73,0
10.57,0,0,0.82,2,0.15,0
9.27,1,10,0.14,0,0.54,1
7.44,1,1,0.85,14,0.06,1
18.45,1,2,0.38,0,0.62,1
10.97,0,1,0.46,0,0.18,0
8.81,0,1,0.82,9,0.31,0
4.75,0,1,1.0,7,0.26,0
21.28,0,0,0.92,4,0.09,0
5.42,0,3,0.39,5,0.55,0
4.99,0,0,0.71,13,0.18,0
3.17,0,0,0.99,16,0.27,0
34.24,1,9,0.3,21,0.58,0
0.45,1,5,0.15,2,0.73,1
24.46,1,0,0.09,20,0.92,1
4.79,0,0,0.84,8,0.04,0
2.63,0,0,0.76,9,0.09,0
0.1,0,0,0.88,12,0.07,0
19.16,1,1,0.0,21,0.62,1
9.75,0,2,0.56,19,0.15,0
5.13,0,0,0.83,9,0.29,0
18.82,1,2,0.43,22,0.71,1
